,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
112,42.0,49.0,54.0,61.0,66.0,50.0,54.0,66.0,42.0,49.0,54.0,30.0,47.0,59.0,-1.0
113,42.0,49.0,54.0,61.0,66.0,50.0,54.0,66.0,42.0,49.0,54.0,30.0,68.0,-1.0,-1.0
114,42.0,49.0,54.0,61.0,66.0,50.0,56.0,68.0,42.0,49.0,54.0,30.0,47.0,59.0,-1.0
115,42.0,49.0,54.0,61.0,66.0,50.0,56.0,68.0,42.0,49.0,54.0,30.0,73.0,-1.0,-1.0
116,42.0,49.0,54.0,61.0,66.0,50.0,59.0,71.0,47.0,54.0,59.0,35.0,47.0,59.0,-1.0
117,42.0,49.0,54.0,61.0,66.0,50.0,61.0,73.0,49.0,56.0,61.0,37.0,47.0,59.0,-1.0
118,42.0,49.0,54.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
119,42.0,49.0,54.0,66.0,42.0,54.0,66.0,78.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
120,42.0,49.0,56.0,61.0,37.0,63.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
121,42.0,49.0,56.0,61.0,37.0,68.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
122,42.0,49.0,56.0,61.0,65.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
123,42.0,49.0,56.0,61.0,66.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
124,42.0,49.0,57.0,69.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
125,42.0,50.0,53.0,65.0,49.0,56.0,61.0,37.0,49.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0
126,42.0,50.0,54.0,66.0,42.0,49.0,54.0,30.0,42.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0
127,42.0,50.0,56.0,68.0,42.0,49.0,54.0,30.0,42.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0
128,42.0,50.0,56.0,68.0,49.0,56.0,61.0,37.0,49.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0
129,42.0,50.0,59.0,71.0,47.0,54.0,59.0,35.0,47.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0
130,42.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
131,42.0,54.0,42.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
132,42.0,54.0,49.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
133,43.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
134,43.0,43.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
135,43.0,48.0,43.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
136,43.0,48.0,53.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,43.0,48.0,58.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
138,43.0,48.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
139,43.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
